calendar_date,home,away,home_name,away_name,home_score,away_score,neutral,forfeit,both_teams_ranked,perspective_check
2026-08-27,tishomingo-county,alcorn-central,Tishomingo County High School,Alcorn Central High School,27,10,False,False,True,consistent
2026-08-27,ashland,smithville,Ashland Middle-High School,Smithville High School,14,52,False,False,True,consistent
2026-08-27,baldwyn,kossuth,Baldwyn High School,Kossuth High School,28,13,False,False,True,consistent
2026-08-27,south-pontotoc,bruce,South Pontotoc High School,Bruce High School,28,33,False,False,True,consistent
2026-08-27,byhalia,byers,Byhalia High School (9-12),H. W. Byers High School (5-12),28,6,False,False,True,consistent
2026-08-27,callaway,forest-hill,Callaway High School,Forest Hill High School,14,0,False,False,True,consistent
2026-08-27,east-marion,west-marion,East Marion High School,West Marion High School,40,0,False,False,True,consistent
2026-08-27,quitman,kemper-county,Quitman High School,Kemper County High School,34,48,False,False,True,consistent
2026-08-27,pearl,madison-central,Pearl High School,Madison Central High School,7,17,False,False,True,consistent
2026-08-27,ocean-springs,meridian,Ocean Springs High School,Meridian High School,9,47,False,False,True,consistent
2026-08-27,south-jones,northeast-jones,South Jones High School,Northeast Jones High School,36,23,False,False,True,consistent
2026-08-28,okolona,aberdeen,Okolona High School,Aberdeen High School,32,50,False,False,True,consistent
2026-08-28,charleston,amanda-elzy,Charleston High School,Amanda Elzy High School,42,0,False,False,True,consistent
2026-08-28,mcadams,amite-county,McAdams Attendance Center,Amite County High School,0,44,False,False,True,consistent
2026-08-28,amory,pontotoc,Amory High School,Pontotoc High School,14,48,False,False,True,consistent
2026-08-28,bay,external-231155,Bay High School,Faith Academy,7,35,False,False,False,single_ranked_team
2026-08-28,bay-springs,south-pike,Bay Springs High School,South Pike Senior High School,18,38,False,False,True,consistent
2026-08-28,external-253142,belmont,McNairy Central,Belmont School,21,16,False,False,False,single_ranked_team
2026-08-28,biggersville,west-lowndes,Biggersville High School,West Lowndes High School,33,14,False,False,True,consistent
2026-08-28,biloxi,holmes-county-central,Biloxi High School,Holmes County Central High School,35,19,False,False,True,consistent
2026-08-28,bogue-chitto,wesson,Bogue Chitto School,Wesson Attendance Center,0,41,False,False,True,consistent
2026-08-28,booneville,north-pontotoc,Booneville High School,North Pontotoc High School,33,21,False,False,True,consistent
2026-08-28,tupelo,brandon,Tupelo High School,Brandon High School,38,14,False,False,True,consistent
2026-08-28,lawrence-county,brookhaven,Lawrence County High School,Brookhaven High School,8,35,False,False,True,consistent
2026-08-28,itawamba-agricultural,caledonia,Itawamba Agricultural High School,Caledonia High School,42,10,False,False,True,consistent
2026-08-28,myrtle,calhoun-city,Myrtle Attendance Center,Calhoun City High School,18,28,False,False,True,consistent
2026-08-28,canton,velma-jackson,Canton Public High School,Velma Jackson High School,56,20,False,False,True,consistent
2026-08-28,center-hill,horn-lake,Center Hill High School,Horn Lake High,23,16,False,False,True,consistent
2026-08-28,choctaw-central,newton,Choctaw Central,Newton High School,48,8,False,False,True,consistent
2026-08-28,choctaw-county,east-webster,Choctaw County High School,East Webster High School,14,20,False,False,True,consistent
2026-08-28,clarkdale,resurrection,Clarkdale High School,Resurrection,56,15,False,False,True,consistent
2026-08-28,external-241722,clarksdale,Cleveland,Clarksdale High School,35,29,False,False,False,single_ranked_team
2026-08-28,warren-central,clinton,Warren Central High School,Clinton High School,35,24,False,False,True,consistent
2026-08-28,coahoma-county,simmons,Coahoma County Jr/Sr High School,Simmons High School,12,44,False,False,True,consistent
2026-08-28,coffeeville,west-bolivar,Coffeeville High School,West Bolivar High School,34,8,False,False,True,consistent
2026-08-28,sumrall,collins,Sumrall High School,Collins High School,39,0,False,False,True,consistent
2026-08-28,columbia,external-260779,Columbia High School,Hartfield Academy,28,42,False,False,False,single_ranked_team
2026-08-28,columbus,houston,Columbus High School,Houston High School,12,46,False,False,True,consistent
2026-08-28,new-hope,corinth,New Hope High School,Corinth High School,21,28,False,False,True,consistent
2026-08-28,crystal-springs,jim-hill,Crystal Springs High School,Jim Hill High School,2,34,False,False,True,consistent
2026-08-28,desoto-central,south-panola,Desoto Central High School,South Panola High School,26,25,False,False,True,consistent
2026-08-28,raleigh,diberville,Raleigh High School,Diberville Senior High Sch,6,21,False,False,True,consistent
2026-08-28,greene-county,east-central,Greene County High School,East Central High School,21,13,False,False,True,consistent
2026-08-28,east-union,tupelo-christian-prep,East Union Attendance Center,Tupelo Christian,0,42,False,False,True,consistent
2026-08-28,edwards,greenwood,Thomas E. Edwards,Greenwood High School,8,4,False,False,True,consistent
2026-08-28,enterprise-brookhaven,north-forrest,Enterprise (Brookhaven),North Forrest High School,14,13,False,False,True,consistent
2026-08-28,enterprise-clarke,stringer,Enterprise (Clarke),Stringer Attendance Center,40,24,False,False,True,consistent
2026-08-28,ethel,j-z-george,Ethel Attendance Center,J Z George High School,20,28,False,False,True,consistent
2026-08-28,eupora,hamilton,Eupora High School,Hamilton High School,40,14,False,False,True,consistent
2026-08-28,presbyterian-christian,external-228114,Presbyterian Christian School,Mobile Christian,31,13,False,False,False,single_ranked_team
2026-08-28,jefferson-davis-county,external-229394,Jefferson Davis County High School,Madison-Ridgeland Academy,27,30,False,False,False,single_ranked_team
2026-08-28,external-229400,french-camp,Oak Hill Academy,French Camp,42,0,False,False,False,single_ranked_team
2026-08-28,sacred-heart,external-229425,Sacred Heart,Centreville Academy,24,0,False,False,False,single_ranked_team
2026-08-28,walnut,external-230145,Walnut Attendance Center,First Assembly Christian,31,18,False,False,False,single_ranked_team
2026-08-28,st-patrick,external-231344,St. Patrick,Christian Collegiate,2,0,False,True,False,single_ranked_team
2026-08-28,jefferson-county,external-243751,Jefferson Co High,Broad Street,6,27,False,False,False,single_ranked_team
2026-08-28,falkner,external-252421,Falkner Attendance Center,Middleton,40,0,False,False,False,single_ranked_team
2026-08-28,lewisburg,external-253175,Lewisburg High School,Mitchell,26,14,False,False,False,single_ranked_team
2026-08-28,hernando,external-253176,Hernando High School,Overton,55,0,False,False,False,single_ranked_team
2026-08-28,lafayette,external-253186,Lafayette High School,Wooddale,58,0,False,False,False,single_ranked_team
2026-08-28,oxford,external-254111,Oxford High School,Collierville,34,24,False,False,False,single_ranked_team
2026-08-28,external-260739,st-andrews,Cathedral,St. Andrew’S,42,13,False,False,False,single_ranked_team
